ip.len,ip.flags.df,ip.flags.mf,tcp.port,tcp.window_size,tcp.ack_raw,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size.1,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,udp.length,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,gtp.ext_hdr,gtp.ext_hdr.length,gtp.ext_hdr.pdu_ses_con.pdu_type,gtp.ext_hdr.pdu_ses_con.qos_flow_id,gtp.ext_hdr.pdu_ses_cont.ppp,gtp.ext_hdr.pdu_ses_cont.rqi,gtp.flags,gtp.flags.e,gtp.flags.payload,gtp.flags.pn,gtp.flags.reserved,gtp.flags.s,gtp.flags.version,gtp.length,gtp.message,gtp.teid,label
96,1,0,40404.0,0.0,1866980964.0,0.0,0.0,0.0,64,17,64256.0,1.0,1.0,0.0,218.0,0.0,16,0.001515,0.0,0.0,0.0,2152,76,375.774647,0.001515,0.016644,0.001515,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,60,255,142,0
28,0,0,0,0,0,0,0,0,63,17,0,0,0,0,0,0,0,0,0,0,0,2549,8,0.045705,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,96,401.233224,0.002216,0.0,0.0,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,80,255,1,0
96,1,0,55324.0,0.0,3286470347.0,0.0,0.0,0.0,64,17,112768.0,58136.0,1399.0,0.0,379.0,0.0,16,0.001109,0.0,0.0,0.0,2152,76,640.711446,0.000171,0.857746,0.000171,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,60,255,138,0
84,1,0,80.0,0.0,4060890205.0,0.0,0.0,0.0,64,17,4194304.0,73.0,224.0,0.0,504.0,0.0,17,0.0,0.0,0.0,0.0,2152,64,846.202384,0.000106,0.140697,0.000106,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,48,255,1,0
96,1,0,39978.0,0.0,2913006669.0,0.0,0.0,0.0,64,17,64128.0,277.0,74.0,0.0,139.0,0.0,16,0.001474,0.0,0.0,0.0,2152,76,237.917793,0.001474,0.377067,0.001474,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,60,255,146,0
96,1,0,80.0,0.0,3743030397.0,0.0,0.0,0.0,64,17,65536.0,75.0,1.0,0.0,934.0,0.0,16,0.013816,0.0,0.0,0.0,2152,76,1578.015808,0.013816,0.029259,0.013816,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,60,255,1,0
28,0,0,0,0,0,0,0,0,63,17,0,0,0,0,0,0,0,0,0,0,0,6228,8,0.127992,1.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
372,1,0,80.0,0.0,2515139812.0,0.0,0.0,0.0,64,17,29056.0,74.0,1.0,276.0,136.0,0.0,24,0.0,0.0,0.0,0.0,2152,352,232.509935,0.001377,0.376136,0.001377,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,336,255,1,0
104,1,0,46618.0,0.0,0.0,0.0,0.0,0.0,64,17,64240.0,0.0,0.0,0.0,409.0,0.0,2,0.0,0.0,0.0,0.0,2152,84,687.136943,0.001647,0.0,0.0,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,68,255,138,0
